04-06 16:27:49: Training starting...
04-06 16:27:50: New best reward -7.5 (-100.0%) at episode 0, saving model...
04-06 16:27:50: New best reward -6.9 (-8.0%) at episode 3, saving model...
04-06 16:27:50: New best reward -6.3 (-8.7%) at episode 4, saving model...
04-06 16:27:50: New best reward -5.7 (-9.5%) at episode 16, saving model...
04-06 16:27:50: New best reward -5.1 (-10.5%) at episode 23, saving model...
04-06 16:27:50: New best reward -3.9 (-23.5%) at episode 54, saving model...
04-06 16:27:50: New best reward -2.7 (-30.8%) at episode 158, saving model...
04-06 16:27:50: New best reward 3.9 (-244.4%) at episode 161, saving model...
04-06 16:27:52: New best reward 4.6 (+17.9%) at episode 894, saving model...
04-06 16:27:53: New best reward 4.8 (+4.3%) at episode 1528, saving model...
04-06 16:27:54: New best reward 6.2 (+29.2%) at episode 1607, saving model...
04-06 16:27:55: New best reward 6.4 (+3.2%) at episode 1931, saving model...
04-06 16:27:56: New best reward 8.4 (+31.2%) at episode 2184, saving model...
04-06 16:28:05: New best reward 10.6 (+26.2%) at episode 4585, saving model...
04-06 16:29:10: New best reward 12.9 (+21.7%) at episode 19754, saving model...
04-06 16:29:10: New best reward 15.0 (+16.3%) at episode 19770, saving model...
04-06 16:29:12: New best reward 22.4 (+49.3%) at episode 20149, saving model...
04-06 16:29:16: New best reward 27.1 (+21.0%) at episode 20989, saving model...
04-06 16:29:24: New best reward 27.2 (+0.4%) at episode 22596, saving model...
04-06 16:29:27: New best reward 36.4 (+33.8%) at episode 23165, saving model...
04-06 16:29:51: New best reward 38.6 (+6.0%) at episode 27530, saving model...
04-06 16:30:35: New best reward 40.9 (+6.0%) at episode 35027, saving model...
04-06 16:31:00: New best reward 45.9 (+12.2%) at episode 38950, saving model...
04-06 16:33:01: New best reward 57.4 (+25.1%) at episode 57359, saving model...
04-06 16:33:22: New best reward 67.3 (+17.2%) at episode 60323, saving model...
04-06 16:36:30: New best reward 87.9 (+30.6%) at episode 86249, saving model...
04-06 16:42:20: New best reward 88.4 (+0.6%) at episode 129551, saving model...
04-06 16:42:31: New best reward 89.1 (+0.8%) at episode 130787, saving model...
